Time(ms),IR1,IR2,IR3,IR4,IR5
392,0,0,0,0,0
461,0,0,0,0,0
527,0,0,0,0,0
592,0,0,0,0,0
658,0,0,0,0,0
723,0,0,0,0,0
789,0,0,0,0,0
855,0,0,0,0,0
920,0,0,0,0,0
986,0,0,0,0,0
1051,0,0,0,0,0
1117,0,0,0,0,0
1182,0,0,0,0,0
1248,0,0,0,0,0
1313,0,0,0,0,0
1379,0,0,0,0,0
1444,0,0,0,0,0
1510,0,0,0,0,0
1575,0,0,0,0,0
1641,0,0,0,0,0
1707,0,0,0,0,0
1772,0,0,0,0,0
1838,0,0,0,0,0
1903,0,0,0,0,0
1969,0,0,0,0,0
2034,0,0,0,0,0
2100,0,0,0,0,0
2166,0,0,0,0,0
2232,0,0,0,0,0
2297,0,0,0,0,0
2363,0,0,0,0,0
2430,0,0,0,0,0
2496,0,0,0,0,0
2562,0,0,0,0,0
2627,0,0,0,0,0
2693,0,0,0,0,0
2759,0,0,0,0,0
2825,0,0,0,0,0
2890,0,0,0,0,0
2956,0,0,0,0,0
3021,0,0,0,0,0
3087,0,0,0,0,0
3152,0,0,0,0,0
3219,0,0,0,0,0
3284,0,0,0,0,0
3350,0,0,0,0,0
3416,0,0,0,0,0
3481,0,0,0,0,0
3547,0,0,0,0,0
3612,0,0,0,0,0
3678,0,0,0,0,0
3744,0,0,0,0,0
3810,0,0,0,0,0
3875,0,0,0,0,0
3941,0,0,0,0,0
4006,0,0,0,0,0
4072,0,0,0,0,0
4137,0,0,0,0,0
4203,0,0,0,0,0
4270,0,0,0,0,0
4335,0,0,0,0,0
4401,0,0,0,0,0
4466,0,0,0,0,0
4534,0,0,0,0,0
4600,0,0,0,0,0
4666,0,0,0,0,0
4731,0,0,0,0,0
4797,0,0,0,0,0
4862,0,0,0,0,0
4928,0,0,0,0,0
4994,0,0,0,0,0
5059,0,0,0,0,0
5126,0,0,0,0,0
5191,0,0,0,0,0
5257,0,0,0,0,0
5322,0,0,0,0,0
5388,0,0,0,0,0
5453,0,0,0,0,0
5519,0,0,0,0,0
5584,0,0,0,0,0
5651,0,0,0,0,0
5716,0,0,0,0,0
5782,0,0,0,0,0
5848,0,0,0,0,0
5913,0,0,0,0,0
5979,0,0,0,0,0
6044,0,0,0,0,0
6111,0,0,0,0,0
6176,0,0,0,0,0
6242,0,0,0,0,0
6307,0,0,0,0,0
6373,0,0,0,0,0
6438,0,0,0,0,0
6504,0,0,0,0,0
6569,0,0,0,0,0
6638,0,0,0,0,0
6704,0,0,0,0,0
6769,0,0,0,0,0
6835,0,0,0,0,0
6900,0,0,0,0,0
6967,0,0,0,0,0
7032,0,0,0,0,0
7098,0,0,0,0,0
7163,0,0,0,0,0
7229,0,0,0,0,0
7294,0,0,0,0,0
7360,0,0,0,0,0
7426,0,0,0,0,0
7492,0,0,0,0,0
7558,0,0,0,0,0
7623,0,0,0,0,0
7689,0,0,0,0,0
7754,0,0,0,0,0
7820,0,0,0,0,0
7885,0,0,0,0,0
7951,0,0,0,0,0
8017,1,0,0,1,1
8083,1,0,0,1,1
8148,1,0,0,1,1
8214,1,0,1,1,1
8280,1,0,0,1,1
8345,1,0,0,1,1
8411,1,0,0,1,1
8476,1,0,0,1,1
8543,1,0,0,1,1
8608,1,0,0,1,1
8674,1,0,0,1,1
8741,1,0,0,1,1
8807,1,0,0,1,1
8873,1,0,0,1,1
8939,1,0,0,1,1
9005,1,0,0,1,1
9070,1,0,0,1,1
9136,1,0,0,1,1
9201,1,0,0,1,1
9267,1,0,0,1,1
9332,1,0,0,1,1
9399,1,0,0,1,1
9464,1,0,0,1,1
9530,1,0,0,1,1
9595,1,0,0,1,1
9661,1,0,0,1,1
9726,1,0,0,1,1
9792,1,0,0,1,1
9858,1,0,0,1,1
9924,1,0,0,1,1
9990,1,0,0,1,1
10055,1,0,0,1,1
10121,1,0,0,1,1
10186,1,0,0,1,1
10252,1,0,0,1,1
10318,1,0,0,1,1
10384,1,0,0,1,1
10449,1,0,0,1,1
10515,1,0,0,1,1
10580,1,0,0,1,1
